monument,location,Description,start_from,end_at,tickets_price
Temple of al Derr,Amada Temples,"This temple cut into the rock was commissioned by the great 19th Dynasty king Rameses II (c. 1279–1213 BC). Its ancient Egyptian name was ‘The Temple of Rameses the Beloved of Amun in the Domain of Ra’. Essentially consisting of two pillared halls and terminating in a sanctuary, it has several interesting similarities with the most famous of Rameses II’s rock-cut temples, the Great Temple of Abu Simbel. Here too in the temple of al-Derr, the figures of the same four gods can be seen in the sanctuary, cut into the rock: Ptah, Ra-Horakhty, the deified Rameses II, and Amun-Ra.
Although some scenes in the first pillared hall depict some of Rameses II’s military campaigns, most of the temple’s wall decoration shows him in the company of the gods, performing temple rituals. The colours of the reliefs in the second pillared hall are very well-preserved.
Later in its history, the temple of al-Derr was transformed into a church and, much later, in 1964, it was dismantled and moved from its original location in al-Derr on the other side of the Nile. Today, it stands near the relocated temple of Amada in New Amada. This operation was undertaken to rescue the temple from being permanently underwater as a result of the construction of the Aswan High Dam in the 1960s.",07:00 AM,04:00 PM,"FOREIGNER:
Adult: EGP 70
Student: EGP 35

EGYPTIAN \ ARABS:
Adult: EGP 10
Student: EGP 5"
Rock Inscriptions of Sehel Island,Aswan,"Sehel Island is one of the largest islands on the Nile, located upstream from the First Cataract in Aswan region. It contained a quarry for the mining of granite, the hardest stone used in ancient Egypt. The island became a popular resting-spot for the king’s army, and trading expeditions making their way upstream into Nubia. As a result, the island contains hundreds of inscriptions and royal cartouches, immortalizing countless officials and kings. Many of these inscriptions can be seen on the large granite boulders surrounding the island. There are also many within the boundaries of the temple of the goddess Anuket, who was revered as part of the Elephantine triad, along with her parents Khnum and Satet.
Continual use of this island can be seen from its oldest inscriptions dating to the Middle Kingdom (c. 2034–1650 BC), through until the Graeco-Roman Period when the famous “Famine Stela” was carved in to the natural granite rock. One inscription from the time of Hatshepsut and Thutmose III (c. 1479–1425 BC) records that the Overseer of Construction Works managed the feat of extracting six obelisks from the granite quarries of Aswan.
The Famine Stela
The fascinating text of this stela carved on the face of a granite boulder on Sehel Island tells the story of a nation in crisis, its concerned king, and his efforts to find a solution. Although it was composed and carved in the Ptolemaic Period (332–30 BC), the events are set around 2500 years earlier.
The Famine Stela is inscribed in 32 vertical rows of hieroglyphic script, with a scene above it depicting King Djoser (c. 2686–2667 BC) presenting offerings to the divine triad of Elephantine consisting of the god Khnum, his wife Satet and their daughter Anuket. The country is gripped in seven years of drought and famine and King Djoser summons his famous courtier, the wise Imhotep to find a solution. Imhotep told the king that the inundation came from the sacred spring in Elephantine Island, whose god Khnum was the one who controlled the flow of water. Djoser dutifully made offerings to the gods of Elephantine and Khnum appeared to him in a dream one night, promising him to end the famine by returning the flood. To celebrate the return of prosperity, Djoser built a temple on Elephantine to thank Khnum.
to download A Guide to Aswan click here!",07:00 AM,04:00 PM,"FOREIGNER:
Adult: 100 EGP 
Student: 50 EGP 

EGYPTIAN:
Adult:10 EGP 
Student: 5 EGP"
Edfu Temple,Aswan,"Edfu Temple is one of the most striking and complete of ancient Egyptian temples and is dedicated to the worship of the god Horus. Situated on the western bank of the Nile, its construction began during the reign of Ptolemy III (246–221 BC) in 237 BC, but was completed in the reign of Ptolemy XII (80–51 BC) in 57 BC, 180 years later.
The temple remained buried under layers of settlement debris for millennia, which is why its architectural and decorative elements have survived so well. In 1860 the French archaeologist Auguste Mariette uncovered and restored parts of the temple.
The temple is fronted by two massive pylons that bear scenes of Ptolemy XII conquering his enemies and worshiping deities. Two large granite statues of the falcon-god Horus stand before the pylons. Once through the pylons you enter into a large Peristyle court lined with columns decorated with floral capitals.
Beyond this court are two Hypostyle Halls, the first illustrates the temple’s foundation with the king engaged in worship, the second holds scenes of Horus’ journey in a sacred bark accompanied by the goddess Hathor. From the second Hypostyle Hall is the Transverse Hall, then the Sanctuary of the temple.
to download A Guide to Aswan click here!",06:00 AM,05:00 PM,"FOREIGNER:
Adult: EGP 550/ Student: EGP 275

EGYPTIANS:
Adult: EGP 40/Student: EGP 20"
Amada Temple,Amada Temples,"Built during the 18th Dynasty (c. 1550–1295 BC) in the New Kingdom, the temple of Amada is one of the oldest of the ancient Egyptian monuments lying along the shores of Lake Nasser. The reliefs and inscriptions of the temple are very well preserved because they were covered with a layer of plaster when it was converted into a church.
Three generations of kings built this beautiful temple. The great conquering warrior kings Thutmose III (c. 1479–1425 BC) and his son Amenhotep II (c. 1427– 1400 BC) built its core, and Thutmose IV (c. 1400–1390 BC) added the graceful hypostyle hall in front. Minor additions and modifications were made in the 19th Dynasty (1295–1186 BC).
The temple’s decoration shows the king in temple ritual and in the company of a wide variety of deities. The temple being dedicated to the gods Amun-Ra and Ra-Horakhty, the king is often seen entering, or being led into, the presence of one of these two powerful gods.
The temple’s walls feature important texts, too. The inscription at the bottom of the left thickness of the doorway into the temple records military exploits by the 19th Dynasty king Merenptah (c. 1213–1203 BC), while Amenhotep II recorded his successful military campaign to the Levant on the rear wall of the sanctuary.
With the construction of the Aswan High Dam in the 1960s, the temple of Amada was in danger of being lost to the rising waters of Lake Nasser. Thankfully, it was possible to reconstruct this temple here, in New Amada, after it was relocated from its original site in Amada around 2.5 km away.
to download A Guide to Aswan click here!",07:00 AM,04:00 PM,"FOREIGNER:
Adult: EGP 100
Student: EGP 50

EGYPTIAN:
Adult: EGP 10
Student: EGP 5"
The Unfinished Obelisk,Aswan,"Obelisks are iconic monuments and masterpieces of ancient Egyptian engineering. They are found throughout Egypt and usually stand in towering pairs in front of entrances to temples. Known in ancient Egyptian language as tekhen, they are made from a single piece of stone with a rectangular shaft and topped by a gilded pyramidion to reflect the sun’s rays. Obelisks are associated with solar mythology, representing the benben, or first land to come into existence at the dawn of time, and from which the sun-god stood to create the universe. Egyptian kings liked to have obelisks made and dedicated to themselves by carving their names and religious dedications onto the four sides of the obelisk’s shaft.
The Unfinished Obelisk was discovered in the early twentieth century after it had been covered by sand for thousands of years. It remains as you see it today in one of the Aswan quarries, famous for its supply of hard and high-quality stone. Believed to have been commissioned by Hatshepsut (c. 1473–1458 BC) for the temple of Amun in Karnak, work was abandoned because of flaws in the stone and the presence of multiple fissures. Had it been finished, it would have weighed 1168 tonnes, and stood at a height of around 42 metres, taller than any other ancient Egyptian obelisk.
to download A Guide to Aswan click here!",07:00 AM,04:00 PM,"FOREIGNER:
Adult: EGP 220
Student: EGP 110

EGYPTIAN:
Adult: EGP 20
Student: EGP 10"
Kalabsha Temple,Aswan,"This beautiful and remarkably well-preserved monument is the largest free-standing temple in Lower Nubia. It was built during the reign of Augustus (30 BC–14 AD), the first Roman emperor. Primarily dedicated to the Nubian god Mandulis, the gods Isis and her husband Osiris were worshipped here too.
The temple is standard in its plan. A monumental gateway called a pylon leads into an open-air forecourt followed by a columned hall, called a hypostyle hall. Two transversal chambers lie beyond which served as halls for offerings.
At the far end of the temple is the sanctuary, where the cult image of the god was kept. A partly rock-cut chapel to the Nubian god Dedwen lies to the south-west, and a small chapel, likely built by Ptolemy IX in the 2nd century BC, is located to the north-east.
Multiple cultures have left their mark on the temple of Kalabsha, from its dedication to a Nubian god to its inscriptions in Meroitic and Greek. The slender columns and their wide spacing hint at influence from Graeco-Roman tradition. There are several crosses carved onto its walls, signaling the beginning of Christianity in the region when the sanctuary was used as a church.
From 1962 to 1963, this temple, like many others in Nubia, was relocated from its original site on Kalabsha Island to New Kalabsha Island in order to save it from the rising waters of the Nile in the aftermath of the construction of the Aswan High Dam. Because of their immense historical significance, the Egyptian monuments in Nubia from Abu Simbel to Philae, including the monuments standing today on New Kalabsha, were inscribed on UNESCO’s World Heritage List in 1979.
to download A Guide to Aswan click here!",07:00 AM,04:00 PM,"FOREIGNER:
Adult: EGP 200
Student: EGP 100

EGYPTIAN:
Adult: EGP 10
Student: EGP 5"
"Madrasa, Mausaleum, and Bimaristan of al-Mansur Qalawun",Al-Mu'izz Street,"This complex is located on al-Mu’izz street. It was established by Sultan Sayf al-Din Qalawun in 683-684 AH/ 1283-1284 AD. It is one of the most beautiful architectural complexes in Egypt dating to the Mamluk period. It consists of a mosque, a school, a burial, and a hospital (bimaristan is a Persian word that means “house of the ill”). Its various entrances are all characterized by unique designs, using gold and silver gilding as well as a number of geometric and floral motifs. The hospital treated people who suffered from nervous and psychological disorders. It now serves as an eye and dentistry hospital.",09:00 AM,04:00 PM,"FOREIGNERS:
Area entry:
Adult: EGP 220 / Student: EGP 110
EGYPTIANS:
Adult: EGP 20 / Student: EGP 10

Inclusive tickets allowing entry into the site,Qalawun Group, Suleyman Agha Al-Selehdar Mosque and Sabil , Al-Kamil School, Al-Nasir Muhammad Ibn Qalawun Mosque and School, Sultan Barqouk Mosque, Musa Bin Maimun Temple, Hammam Inal, Amir Bishtak Palace .

This ticket does not cover Wekalet Bazaraa and Bayt Al-Suhaymi, Their prices are listed on their individual pages."
"Mosque, Khanqa, and Madrasa of Sultan Farag ibn Barquq in the Mamluk Cemetery",Cairo,"It is in the east of the Mamluk cemetery in Cairo, established by Sultan al-Nasir Faraj ibn Barquq sometime between 801-813 AH/ 1398-1411 AD. This complex is one of the largest architectural units in Egypt. It consists of a mosque, a khanqah for Sufis, and a madrasa (school). It is also the burial place of Sultan Barquq and his family. There are two sabils on the main façade. The most important features of this complex are the two minarets and domes. In 1940, the Committee for the Preservation of Arab Antiquities exerted great efforts in restoring this complex.",09:00 AM,04:00 PM,Free
Madrasa of Sultan al-Ghuri,Al-Mu'izz Street,"The founder of this complex, Sultan Qansuh al-Ghuri, was one of the most famous circassian mamluk sultans. He ascended the throne in 906 AH / 1501 AD, and ruled until his death in 922 AH / 1516 AD in the battle of Marg Dabiq in northern Syria against the Ottomans.
The complex was constructed in 909–910 AH / 1503–1504 AD. Its unique architectural plan combines all social needs in one holistic structure. It is one of the most beautiful monuments in Cairo.
The complex includes a mosque, a madrasa for sciences of Islamic jurisprudence and prophetic hadiths, across the street, a mausoleum, a khanqah (hostel for Sufis), a sabil (public drinking fountain), a kuttab (Quranic school), and a dormitory. A wooden roof spanning the street connects the two halves of the complex and shelters a textiles and clothes market.
This madrasa is considered a suspended one as there is a row of shops lies underneath. It has a court surrounded with four iwans (vaulted space that is open on one side). It has also a remarkable square minaret which is decorated with a geometric decoration of squares forming chessboard. 
The madrasa exhibits the finest elements of Mamluk art and architecture, which is most apparent in its minaret, the first in Cairo’s Islamic architecture to be crowned with four pinnacles. Just as iconic is the marble paneling of the madrasa’s iwans, the vegetal motifs sculpted into the stone and the marble, and the wooden ceilings decorated with gilded and painted inscriptions and vegetal and geometric motifs. The wooden minbar (pulpit) and seat for the Quran reciter are inlaid with ivory and ebony.",09:00 AM,04:00 PM,Free
Sultan al-Ghuri Complex,Al-Mu'izz Street,"The founder of this complex, Sultan Qansuh al-Ghuri, was one of the most famous circassian mamluk sultans. He ascended the throne in 906 AH / 1501 AD, and ruled until his death in 922 AH / 1516 AD in the battle of Marg Dabiq in northern Syria against the Ottomans.
The complex was constructed in 909–910 AH / 1503–1504 AD. Its unique architectural plan combines all social needs in one holistic structure. It is one of the most beautiful monuments in Cairo.
The complex includes a mosque, a madrasa for sciences of Islamic jurisprudence and prophetic hadiths, across the street, a mausoleum, a khanqah (hostel for Sufis), a sabil (public drinking fountain), a kuttab (Quranic school), and a dormitory. A wooden roof spanning the street connects the two halves of the complex and shelters a textiles and clothes market.
The house consists of a ground floor and two upper floors consisting of halls and rooms, most of the walls of which were demolished and their features changed. The ground floor included rooms and store rooms, which were designated for the residence of the imam of the school and the shaykh of the khanqah.
Attached to this house in the south-east of the complex, a courtyard in which Sultan Tuman Bay was buried after he was hanged at Bab Zuwayla, and his remains were laterly transferred .
The  maq’ad (loggia) occupies the southwestern side of the courtyard, overlooking it with a huge facade divided into three levels. The sabil occupies the northern corner of the northwestern (main) façade. It is of the style of sabils with three windows. Its façade is decorated with two ranks (emblems) for Sultan al-Ghuri.
The main entrance leads to a rectangular hall, which leads to the rectangular sabil room, and on the  its southern wall we find the marble shazrawan with its ornaments. The cistern is located behind the sabil room, and above the sabil is the kuttab.
The mausoleum dome is attached to the complex, which is characterised by its exquisite decorations and mihrab. It is the dome in which Sultan al-Ghuri was not buried due to his death in the Levant in 922 AH/1516 AD.
The Khanqah is next to the mausoleum dome, it is the place designated for the residence of Sufis, and is characterized by its wooden ceiling decorated with golden engravings.",09:00 AM,05:00 PM,"FOREIGNERS:
Adults: EGP 150 / Student: EGP 75

EGYPTIANS:
Adults: EGP 10 / Student: EGP 5"
Al-Ghuri’s wikala,Al-Mu'izz Street,"The founder of this complex, Sultan Qansuh al-Ghuri, was one of the most famous Burgi Mamluk sultans. He ascended the throne in 906 AH / 1501 AD, and ruled until his death in 922 AH / 1516 AD in the battle of Marg Dabiq in northern Syria against the Ottomans.
The complex was constructed between 909–910 AH / 1503–1504 AD. Its unique architectural plan combines all social needs in one holistic structure. It is one of the most beautiful monuments in Cairo.
The wikala (commercial part) consists of a rectangular open courtyard surrounded by a group of halls distributed on a ground floor and four upper floors. The ground floor and first floor include alveoli, which were used as warehouses for the goods resident merchants. While the upper floors contains modular rooms that were used as lodges for merchants.
This wikala reflects the masterworks of wood and stone arts of the late Mamluk era, which appear in the roofing of residential spaces and mashrabiyas and also the Sultan al-Ghuri rank (emblem) located on the stone facades of the first floor. The wikala's external facade is also characterized by the use of the famous stone style of exchanging stones colors.
The complex includes a mosque, a madrasa for the four Islamic schools of jurisprudence and, across the street, a mausoleum, a khanqa (hostel for Sufis), a sabil (public drinking fountain), a kuttab (Quranic school), and a dormitory. A wooden roof spanning the street connects the two halves of the complex and shelters a textiles and clothes market.
 ",09:00 AM,05:00 PM,"FOREIGNERS:
Adults: EGP 100 / Student: EGP 50

EGYPTIANS:
Adults: EGP 10 / Student: EGP 5"
Mosque and Madrasa of al-Nasir Muhammad Ibn Qalawun,Al-Mu'izz Street,"This madrasa is located on al-Mu’izz street, between the two palaces. It is placed between the Dome of Sultan Qalawun and the Madrasa of Sultan Barquq.
Its construction began during the reign of Mamluk sultan Zayn al-Din Katbugha in 695 AH/ 1296 AD. It was completed, however, during the reign of Sultan Muhammad ibn Qalawun, sometime between 698-703 AH/1298-1303 AD.
Only two of the madrasa’s iwans survive. The eastern iwan contains a rare plaster mihrab and the western iwan contains plaster window. The madrasa is characterised by a beautiful stone façade and a marble entrance that used to serve as the gate for a church in Acre, Palestine.
Inside, the mausoleum lies to the right of the door. It is surrounded by gilded wooden grills. Here, Sultan al-Naser Muhammad’s mother, princess Aslabai, and his son Anok are buried.
Near the dome is a door leading to the square minaret. It is distinguished by its enchanting Andalusian decorations and bearing various collection of decorations and inscriptions.",09:00 AM,04:00 PM,"FOREIGNERS:
Area entry:
Adult: EGP 220 / Student: EGP 110
EGYPTIANS:
Adult: EGP 20 / Student: EGP 10

Inclusive tickets allowing entry into the site,Qalawun Group, Suleyman Agha Al-Selehdar Mosque and Sabil , Al-Kamil School, Al-Nasir Muhammad Ibn Qalawun Mosque and School, Sultan Barqouk Mosque, Musa Bin Maimun Temple, Hammam Inal, Amir Bishtak Palace .

This ticket does not cover Wekalet Bazaraa and Bayt Al-Suhaymi, Their prices are listed on their individual pages."
The complex of Sultan Qayitbay in the Mamluk Cemetery.,Cairo,"Qayitbay’s complex is one of the most magnificent architectural complexes of the Mamluk Cemetery, representing the strength and wealth of the Mamluk period. The complex displays all the unique architectural features common in the Circassian Mamluk period. It was established by the Mamluk sultan al-Ashraf Qayitbay in 877- 879 AH/ 1472- 1474 AD and is located in the Mamluk cemetery in Cairo.
The complex consists of a madrasa (school), a sabil, and a kuttab for teaching the Quran to impoverished Muslims. There is also a private burial ground for Sultan Qayitbay’s family. The madrasa consists of a courtyard surrounded by four iwans. It is one of the most important establishments, both for its architecture and role in society. The engineer responsible for this structure demonstrated consistency, symmetry, and beauty in his execution of the building, paying attention to the finest details. The most important feature of the madrasa is the main entrance, which is adorned with colored marble and bears several inscriptions. The door itself was gilded in copper designs. The muezzin’s (the person who is raises adhan or call for pray) name is inscribed upon the beautiful minaret.
There are elaborate wooden artifacts within the madrasa. These include a pulpit and a chair for the Qur’an reciter. Both were inlaid with ivory. In addition to the wooden dome (shokhshikha) which lies in the middle of the roof of the madrasa and decorated with golden decorations. The sabil-kuttab lies to the left of the madrasa’s entrance. The sabil is characterised by its colored marble tiles.",09:00 AM,04:00 PM,Free
Sabil-kuttab of Nafisa al-Bayda,Al-Mu'izz Street,"Nafisa al-Bayda (she was called the white due to the colour of her skin) established this complex in 1211 AH / 1796 AD. She was the wife of the Mamluk Ali Bey al-Kabir, after whose death she married Murad Bey, a Mamluk general and joint-ruler of Egypt along with Ibrahim Bey.
The complex consists of a wikala (warehouse) and sabil-kuttab (public drinking fountain and school). The façade of the sabil is typically Ottoman style rounded front. It is overlooking al-Mu‘izz li-Din Allah street with three copper windows decorated with lattice geometric decorations. The middle of which is surmounted with a marble slab with the foundation text. This slab is surrounded with three stone squares fulled with geometric decorations as well. Above the sabil, the kuttab which façade contains three arches based on two marble columns and surrounded with a short wooden screen and two wooden flaps. The side entrance of the sabil lies in al-Hammam lane right after the stone arch that once formed the gate of al-Hammam lane, which opens into a vestibule. It leads to the main room of the sabil (sabil room) on the left as well as a staircase leading to the kuttab in the upper floor.",09:00 AM,05:00 PM,"FOREIGNER: 
Adult: EGP 60 / Student: EGP 30

EGYPTIANS: 
Adult: EGP 10 /Student: EGP 5"
Samiha Kamil Palace,Cairo,"It is located in Zamalek, Cairo, and was built in 1320 AH / 1902 AD,  the palace was purchased by princess Samiha, daughter of Sultan Husayn Kamil. She loved the arts and willed that the palace be converted into a cultural center. In 1995 the palace converted into Cairo Library.
The palace’s architecture was inspired by an Andalusian style. It consists of a basement, three floors, four facades, and a circular tower lies on the northern corner and resembles those of war castles in the Middle Ages. The decorative motifs of the palace bear the influence of Andalusian, Moroccan, Ottoman, Renaissance arts, Greek and Roman architecture and decoration styles. A circular hall on the third floor was used as a studio for Princess Samiha.",Not Available,Not Available,Free
Prince Taz Palace,Al-Suyufiyya Street,"This palace is located on al-Suyufiyya Street in the al-Khalifah neighborhood. It was commissioned by Prince “Saif al-Din Taz”, Dawadar of Sultan al-Saleh Ibn al-Nasir Mohammad Ibn Qalawun and deputy of Aleppo, in 753 AH / 1352 AD.
It is one of the finest and most beautiful examples of Bahari Mamluk palace architecture. It is also the largest in area. Its most important characteristic is the maq’ad or the seat which overlooking the large inner courtyard and its beautifully decorated halls.
The ceilings of the palace are decorated with geometric and plant motifs, while the walls bear bands that record the titles of the prince and his emblem, the cup which indicates to his job as sultan’s  cupbearer. One of the halls that annexed to the maq’ad is decorated with an inscription band consisting Persian calligraphy from passages from Imam al-Busiri’s Burda (poem in praise of Prophet Muhammad, God bless him and grant him peace), executed in white",09:00 AM,05:00 PM,Free
The tomb of Amenemhat,Beni Hasan,"Amenemhat was the last to hold the title of nomarch (governor) of the Oryx nome. He held this position for around 25 years, during the reign of the 12th Dynasty king, Senusret I (c.1965–1920 BC).
Similar to Khnumhotep II’s tomb, the entrance into Amenemhat’s tomb chapel is in the form of a portico with two columns and surrounded by a forecourt reached by way of a causeway running up the hill. Hence, its course can still be seen thanks to the boulders on either side of it. Inside the tomb chapel, a shrine cut into the east wall, facing the doorway, contains a statue of Amenemhat, his wife Hetepet, and his mother Henu.
The tomb of Amenemhat has some of the finest decorations of all the tombs at Beni Hasan. This includes scenes depicting activities of daily life such as agriculture, fishing, and fowling, and the practicing of various crafts and professions including carpentry, sandal making, pottery, bows and arrows.
Particularly, the ceiling of the tomb chapel is striking. In each segment, along largely yellow rectangle bearing a hieroglyphic inscription runs through the center, representing a wooden beam. Its midsection is flanked by a yellow and red check pattern contained in a rectangle, which is itself surrounded on its two opposing sides by a pattern imitating matting. Surrounding this entire arrangement are red and yellow squares containing quatrefoils.",08:00 AM,05:00 PM,Free
The Tomb of Khnumhotep II,Beni Hasan,"Khnumhotep II was Overseer of the Eastern Desert under Senusret II (c.1911–1870 BC) in the Middle Kingdom.
The entrance to Khnumhotep’s tomb chapel is in the form of a portico with two columns, and is set in a forecourt. The forecourt itself was once reached by a long causeway that ran up the hill and whose course can still be seen owing to the boulders on either side of it. The portico has two fluted columns. These columns are in the proto-Doric style, so called due to its resemblance to the much later ancient Greek Doric column style. The chapel contains two burial shafts and was designed with two rows of two columns, probably laid out in square formation around the centre of the tomb chapel and ending in front of the statue shrine.
Khnumhotep’s life is recorded in 222 columns of text which run across the lower section of the chapel walls. On either side of the statue shrine, painted scenes also show him fishing and fowling in the marshes. The most famous scene in this tomb, however, is on the north wall, to the left of the entrance: a delegation of 37 ‘Amu (people who lived to the east and north-east of Egypt) consisting of men, women, and children dressed in beautiful, colorful clothing bringing eye-paint to Khnumhotep. The head of the delegation has his own caption, which gives us his name, Abisha(i), and which describes him as a heqa khaset – ruler of a foreign land. This is the oldest known example of the word that is far better known today in its Greek form, Hyksos.
On the west wall, on your left directly after entering the tomb chapel, you will notice a fascinating scene depicting three monkeys helping fruit gatherers collect figs from the tree!",08:00 AM,05:00 PM,Free
The Tomb of Baqet III,Beni Hasan,"This tomb belongs to Baqet III, the son of Remushen, both of whom were nomarchs (governors) of the 16th Upper Egyptian nome, known as the Oryx nome, (c.2055–1956 BC) in the Middle Kingdom. It consists of a forecourt leading to the tomb which gives access to the chapel. There, a small shrine was added in the south-eastern corner (at the far end, on the right), with a false door carved on its west wall and an offering platform in front of it.
The walls of the tomb, like those of others tombs at Beni Hasan, have a decorative frieze at the top, which the ancient Egyptians called a kheker. As is standard for tombs in the upper cemetery at Beni Hasan, the north wall (the one left of the entrance) depicts scenes of hunting in the desert. This same wall, as in the tomb of Khety, depicts scenes of everyday life: here, barbers, sandal makers, goldsmiths, spinners, and weavers can all be seen, in addition to a scene showing tax collection, in which defaulters are being brought by force before a scribe. Also interesting is the lowest register which, alongside fishing, depicts different species of fish and flying creatures, mostly birds, but bats, too. More animals can be seen on the south wall, where a cat is facing a mouse, and below them, accompanied by a male monkey, a female monkey is carrying a young monkey on her back. Two baboons can also be seen next to the monkeys. The east wall of the tomb depicts a battle and a besieged fortress, and 220 pairs of wrestlers. In each pair, one wrestler is painted red and the other dark brown, so that the interaction between the two men can be seen clearly.",08:00 AM,05:00 PM,Free
The Tomb of Khety,Beni Hasan,"Khety was the nomarch (governor) of the 16th Upper Egyptian nome. His tomb dates to (c.2055–1956 BC) in the Middle Kingdom. It consists of a forecourt leading to the entrance and a room which originally had two rows of three columns with lotus capitals. Only one column in each row survives intact today.
The walls of this tomb bear many interesting painted scenes. Upon entering the tomb, one is immediately struck by the wrestling scenes on the east wall: wrestlers are seen in various positions and in military training in preparation to storm castles and fortresses. Facing the entrance: 122 pairs of wrestlers in five registers (sections) are locked in combat, no two in the same position. Below them, the beleaguered defenders of a fortress are fighting off their attackers. The north wall (to the left of the entrance) depicts, as is usual for the tombs in the upper cemetery at Beni Hasan, scenes of wild animal hunting in the desert. In the registers below these, depictions of barbers, carpentry, a scene of a statue being sculpted of the deceased and his wife alongside scenes of funeral rituals, and spinning and weaving can all be seen, in addition to scenes of men playing board games, and young women juggling and performing acrobatics. All of these activities are presided over by Khety and his wife, who can be seen further down this wall. The south wall also depicts the wine making process, and scenes of listening to music and performing different sports.",08:00 AM,05:00 PM,Free
The Red Pyramid,Dahshur,"The Red Pyramid is the highest in Dahshur, and its name of “Red” is due to the reddish rusty color of its blocks. It was not this color originally, but a beautiful pure white of limestone of Tura, south of modern Cairo. All pyramids had a casing made of this white limestone, which was reused in medieval times.    
It is the third-largest Egyptian pyramid after those of Khufu and Khafre at Giza. The Red Pyramid was one of three pyramids built by King Sneferu after the Bent Pyramid, located one kilometer to the south, and the so-called Meidum pyramid. This pyramid may have been started in the 13th year of his reign, taking 10 years to be built.
The visitor can enter the pyramid from an entrance on the northern side, leading to a passageway (a meter in height and a meter in width). It then slopes down to another gallery into a chamber with a corbelled roof, similar to an inverted stairway. Another passage leads to a second chamber located in the middle of the pyramid, directly at the western end of that chamber. To the south of it, a passageway leads to a third chamber, which is believed to have been the pyramid’s burial chamber.",08:00 AM,05:00 PM,Free
The Bent Pyramid,Dahshur,"The Bent Pyramid is one of the pyramids built by King Sneferu, the first king of the Dynasty 4. It was called “bent” because of its broken lines due to a change of angle, an engineering issue in its design. Indeed, the pyramid construction began at an angle of 55 degrees but had to be adjusted to 43 degrees due to an overload of blocks resulting in instability. Despite their adjustments, the king’s designers made a new pyramid at a short distance, the Red Pyramid. The first angle of the Bent Pyramid suggests the transition phase between the Step-pyramid design of King Djoser in Saqqara and the later smooth-faced pyramids.
The Bent Pyramid has two entrances, one on the north side, with modern wooden stairs, and the other is high on the west side. Each entrance leads to a chamber with a corbelled roof, giving this gradual effect. The northern entrance chamber is below ground level. As for the western entrance chamber, it is built higher up in the body of the Bent Pyramid.",08:00 AM,05:00 PM,Free
The Southern Tomb  ,Saqqara,"The South tomb is located at the southwestern corner of the King Djoser funeral complex, dating to the 3rd Dynasty, Old Kingdom period. This magnificent complex is the oldest stone building of the ancient world. Basically, it was named the “Southern Tomb'” following its discovery by the English archaeologist Cecil Malaby Firth in 1928.
Significantly, the tomb is composed of an upper level in the form of a rectangular stone building. Its walls are decorated with a series of stone sockets in the form of entrances and exits, crowned by a frieze of cobra heads that symbolize protection and power.
The lower level of the tomb consists of an entrance towards a ramp leading to the burial chamber, which is located at the bottom of a great shaft measuring 7.5 x 7.5 m, and with a depth of approximately 31 m. It housesg a large sarcophagus made of 16 blocks of pink granite, each measuring approximately 3.60 metres high, 3.5 metres wide, and 3.6 metres long. urthermore, one can note the similarity between the shaft and the sarcophagus with those inside the step pyramid.
One of the most important architectural and decorative elements of the Southern Tomb are a series of corridors, one of which contains three false doors, each topped with exquisite reliefs depicting the king taking part in the Heb-Sed Festival. This was a vital event, a royal jubilee, with the aim of rejuvenating the king and renewing his right to rule. One can admire the king represented wearing the royal beard, as well as the White Crown of Upper Egypt. Several walls of the southern tomb’s corridors are decorated with the same blue faience tiles into the step pyramid.
Various theories have been proposed about this tomb, as it is believed that it belonged to the royal wife of the king, or that it was built in order to house the internal organs of the king (lungs, stomach, intestines and liver).
The famous French Egyptologist Jean-Philippe Lauer undertook many important excavations at Saqqara, including the restoration and reconstruction of Djoser’s Step Pyramid Complex throughout a period of over 70 years. Lauer believed that this South Tomb was a symbolic burial for the king’s soul, replacing the royal tomb at Abydos (in the Sohag governorate).
In 2006, restoration work of the South Tomb began. It involved conservation and restoration work of the lower corridors, strengthening of the walls and ceilings, fixing of the blue faience tiles to complete the interior inscriptions in the tomb, as well as  reassembling and restoring the granite sarcophagus. In addition, this conservation project also included the paving of floors and the installation of a ladder; installations of indoor and outdoor lighting provide the visitor an enhanced and enjoyable experience.",08:00 AM,05:00 PM,"FOREIGNERS:
Adult: EGP 160 / Student: EGP 80

EGYPTIANS:
Adult: EGP 40 / Student: EGP 20"
