Restaurant_Name,City,District,Address,Phones
Cumin,Giza.,6th of october,"Plot 18, 26th Of July Spine, El Sheikh Zayed",
Dalaa Kershak Restaurant,Giza.,El hawamdeya,"40 Masged El Ommal St., El Ezba El Sharqeya",
Dandana,Cairo.,Zamalek,Saray El Gezirah St.,
Darsh,Giza. See All Branches❯,Giza,44 Ahmed Zewail St.,
Darsh Restaurant,Giza. See All Branches❯,Imbaba,124 Nady Imbaba El Riady St.,
Dawar El Omda,Sharm el sheikh.,Umm el sid hill,El Motellat St.,
Dawar Elaiwa,Cairo.,Helwan,"46 Abdullah St., Intersection Of Mostafa Fahmy St., El Karim Tower",
Dayer El Nahya Restaurant,Giza.,El moneeb,"47 Dayer El Nahya St., El Konaysa",
Daze Cafe & Restaurant,Alexandria.,Sidi gaber,El Guish Rd.,
Degla World,Cairo.,Highkestep,", Future City",
Desoke Restaurant,Cairo.,Zamalek,12 El Sayed El Bakry St.,
Desoky And Soda,Giza. See All Branches❯,6th of october,El Wahat Rd.,
Diana Restaurant,Hurghada.,Dahar,Sayed Korayem St.,
Doctor Forn,Giza.,El haram,"221 Ein, Hadayek El Ahram",
Dokana Restaurant,Ismaileya.,El sheikh zayed,"Ring Rd., Ard El Gamaeyat",
Dokanet Romana,Cairo.,Maadi,"45 Rd. 9, Thakanat El Maadi",
Dokant Bab El Khalq,Giza.,Faisal,"146 Faisal St. Intersection Of El Mostaqbal St., Khaled Tower, El Koum El Akhdar",
Donut Boat,Cairo. See All Branches❯,Maadi,"Corniche El Nil, Corniche El Maadi",
Douka & Dawara,Cairo.,Maadi,"84 Rd. 9, New Maadi",
Dr. Mohamed Aql,El monofeya.,Ashmoun,29 Salah El Din St.,
Eat Sense,Cairo.,Nasr city,"Bldg. No. 8 - El Marwa Bldgs., Nabil El Waqqad St.",
Ebad El Rahman,Cairo.,El sayeda zeinab,19 Beiram El Tounisy St.,
Ebad El Rahman Restaurant,Cairo.,Misr el kadima,"1 Hassan El Anwar Bldgs., Hassan El Anwar St., El Gaiara",
Ebad El Rahman Restaurant,Giza.,El moneeb,2 El Ekhlas St.,
Ebad El Rahman Restaurant,Giza.,El moneeb,32 El Anwar St.,
Ebad El Rahman Restaurant,Giza.,Auseem,"1 Mohamed Aly St., Off El Horreya St., Bashtil Village",
Ebada,Alexandria.,El seyouf bahary,el seyouf bahary st.,
Edra W Shawaya,Giza.,6th of october,", Central Spine",
Edris Group,Luxor.,Luxor,1 Salah El Din St.,
Egyptian Nights,Cairo.,Zamalek,16 Saray El Gezirah St.,
Egyptian Restaurant,Sharm el sheikh.,Ras nasrani,El Montazah,
Egyptian Restaurant,Hurghada.,Sahl hashish,Hurghada Safaga Rd.,
Eish Baladi,El gouna.,Abou tig marina,New Marina,
El 3aw Kebda & Sgoa,Giza.,Dokki,Soliman Gohar St.,
El Aaelat Restaurant,El dakahleya.,Belqas,El Gomhoureya St.,
El Aaelat Restaurant,Kaliobeya.,El khosous,57 El Rashah St.,
El Abbasy,Alexandria.,Bahary,21 El Sayed Mohamed Korayem St.,
El Abd Restaurant,Giza.,El haram,"18 Khatam El Morsaleen St., El Omraneya El Gharbeya",
El Abeet 2 Restaurant,Cairo.,Hadayek el kobba,16 Teraet El Qobba St.,
El Abeet Restaurant,Cairo.,El amireya,"7 El Tahrir St., El Fardous City",
El Adham,Giza.,Faisal,108 El Mansheya St.,
El Ahmady Sheraton Restaurant,Cairo.,Heliopolis,"51 Saqr Qoraish Bldgs. Abdel Hamid Badawy St., Sheraton Bldgs.",
El Akeel,Giza.,6th of october,", El Hosary Sq., Central Spine, 7th District",
El Akeel Restaurant,Cairo.,El herafeyeen,5 Gamal Abdel Nasser St.,
El Akeel Restaurant,Cairo.,El sherouk city,", Iskan El Mostaqbal 63 Meter",
El Akeel Restaurant,El monofeya.,Shebein el kawm,El Galaa El Bahary St.,
El Alamy Restaurant,Giza.,Auseem,"2 Magdy Metwally St., Bashteel Village",
El Amana,Giza.,El haram,"87 Abou Khashaba St., El Talbeya",
El Amana Restaurant,Giza.,Faisal,Ossama Abou Emaira St.,
El Amany B.B.Q,Cairo.,Ezbet el nakhl,77 El Sheikh Mansour St.,
El Amany Restaurant & Cafeteria,Cairo.,Downtown,"14, 16 Souk El Tawfiqeya St.",
El Amir Restaurant,Cairo.,El bassateen,89 El Basateen El Omoumy St.,
El Amir Restaurant,Cairo.,Hadayek helwan,75 El Azab St.,
El Amira Restaurant,Cairo.,El marg el gadida,66 El Gomhoureya St.,
El Ammar & El Reda Restaurant,Kaliobeya.,El kalag,34 El Gomhoureya St.,
El Anwar Restaurant,Giza.,El moneeb,36 El Anwar St.,
El Araby,Alexandria.,Bahary,69 El Sayed Mohamed Korayem St.,
El Araby,Giza.,Faisal,Mohamed Abdel Zaher St.,
El Arzaq Bellah Restaurant,Cairo.,Helwan,24 Haidar St.,
El Arzaq Bellah Restaurant,Kaliobeya.,El khosous,"2 Kamel El Mashad St., Ezbet El Seqily",
El Aseel Restaurant,Cairo.,El maasara,2 Mohamed Selim St.,
El Aseel Restaurant,El sharkeya.,10th of ramadan,", El Ordoneya",
El Ashram,Cairo.,El sayeda zeinab,2 Abdullah Alley,
El Ashram Restaurants,Cairo.,El sayeda zeinab,20 El Koumy St.,
El Ashwal Sons Restaurant,Cairo.,El darb el ahmar,30 Zaraa El Nawa St.,
El Asil,Giza. See All Branches❯,Faisal,244 Faisal St.,
El Asil,Giza.,6th of october,"9th neighbourhood, 6th District",
El Asil Restaurant,Giza.,Faisal,399 Faisal St.,
El Askary Restaurant,Giza.,Boulak el dakrour,2 hamdy abdel azim st.,
El Asly,Cairo.,Maadi,Rd. 154,
El Awam Restaurant,Cairo.,Ezbet el nakhl,30 Alfred St.,
El Awwam Restaurant,Cairo.,Nasr city,"3 El Khalifa El Zafer St., 7th District",
El Awwamy Restaurant,Giza.,El haram,"60 el khalifa st., Off Haram St.",
El Ayouty,"Port Said.
See All Branches
❯",El Manakh District,"10 El Lux Bldgs., , Tarh El Bahr",
El Azama,Kafr El Sheikh.,Kaleen,Gamal Abdel Nasser St.,
El Badr,Cairo.,Hadayek El Kobba,162 Misr & Sudan St.,
El Badr Restaurant,Cairo.,Hadayek El Kobba,2 El Sheikh Ghorab St.,
El Badr Restaurant,Giza.,6th Of October,"91 5Th Neighbourhood, 12th District",
El Bait El Faroni Restaurant,Aswan.,El Corniche,.,
El Bakry Restaurant,Cairo.,El Marg,123 Moassaset El Zakah St.,
El Baladi Restaurant,Cairo.,Nasr City,"6 Mohamed Kamel El Harouny St., Off Ahmed Fakhry St., 6th Zone",
El Balady Yokal Restaurant,El Menia.,Ard Sultan,Adnan El Malky St.,
El Baraka,Giza.,El Haram,52 Abdel Rahim Abbas St.,
El Baraka Meat,Cairo.,Mokattam,"7559 Modern University St., Middle Hill",
El Baraka Restaurant,Cairo.,Misr el kadima,122 E Morour St.,
El Baraka Restaurant,Giza.,El haram,"Teraet El Zomor St., El Omraneya El Sharkeya",
El Baraka Restaurant,Giza.,El Warak,"11 Madraset El Nagah St., Warraq El Arab",
El Bardisy,"Giza.
See All Branches
❯",Faisal,"125 Faisal St., El Koum El Akhdar",
El Bardisy,Giza.,Faisal,2 Mahmoud Abbas St. El Saah Sq.,
El Bardisy,Giza.,Faisal,10 El Eshreen St.,
El Basha Akher Saa,Hurghada.,Sekala,El Sheraton St. Seqqala Sq.,
El Bata El Beda Restaurant,El Dakahleya.,El Mansoura,", Home Delivery",
El Baz Afandy,Cairo.,Heliopolis,"13 El Marwa Bldgs. Nabil El Waqqad St., Koleyet El Banat",
El Captain Restaurant,Giza.,Auseem,14 Ezbet El Yaman St.,
El Chef Abdel Rhaman,Cairo.,Nasr City,"25 Khedr El Touny St., 1st Zone",
El Chef Fathy Restaurant,North Coast.,Alex. Matrouh Desert Rd.,"Km 45, ",
El Chef Nabil Mokhtar,El Dakahleya.,El Mansoura,El Nakhla St.,
El Chef Restaurant,Giza.,Faisal,1 Ahmed El Bakry St.,
El Cheif Restaurant,Sharm El Sheikh.,El Souk El Kadim,Masged El Sahaba St. Off El Gamaeya St.,
El Dahawy Restaurant,Cairo.,Mokattam,"1 /5 El Mostaqbal Bldgs. Diyar City St., 3rd District",
El Dahhan Restaurant,Cairo.,Khan El Khalili,El Mashad El Husseiny St.,
El Dallaty Restaurant,Alexandria.,Sidi Beshr,El Bekbashy El Essawy St. Off Rd. 56,
El Dar,Cairo.,New Cairo,"157 Ahmed Shawky St., Southern Youth Housing, 1st Compound",
El Dar Darak Restaurant,Hurghada.,Sekala,el central el seyahy st.,
El Dayekh Restaurant,Giza.,6th of october,"Waslet Dahshour Rd., El Sheikh Zayed",
El Desouqy,Cairo.,Downtown,"3 Orabi Sq., El Tawfiqeya",
El Diwan Mezzeh Lounge,El gouna.,Downtown,.,
El Dokka,Aswan.,Downtown,Corniche El Nil,
El Dokkan,Cairo. See All Branches❯,Shoubra,"6 El Lewaa Fatin St., Off Shoubra St.",
El Doksh Restaurant,Cairo.,Bab el shaareya,88 A El Guish St.,
El Domiaty Restaurant,Giza.,Dokki,4 Soliman Gawhar St.,
El Dreny Restaurant,Giza. See All Branches❯,Imbaba,65 El Wehda St.,
El Eatemad Restaurant,Giza.,Agouza,33 Rd. 12,
El Ekhlas,Cairo.,Bab el shaareya,16 El Banhawy St.,
El Ekhlas Restaurant,Kafr el sheikh.,Downtown,Salah Salem St.,
El Ekhlas Restaurant,Hurghada.,Sekala,el central el seyahy st.,
El Ekhwa El Thalatha Restaurant,Kaliobeya.,El khosous,"33 Ahmed Orabi St., Ezbet El Seqily",
El Ekhwa Restaurant,Cairo.,Shoubra,29 Gesr El Bahr St.,
El Ekhwa Restaurant,Giza.,El haram,"2 El Amal St., El Omraneya El Gharbeya",
El Eman Restaurant,Cairo.,Nasr city,8 Abdel Azim El Ghoulmy St.,
El Emprator,Cairo.,Downtown,33 26th of July St.,
El Esawy Restaurant,Cairo.,Dar el salam,59 El Fayoum St.,
El Esraa Restaurant,El dakahleya.,Mit ghamr,saad Zaghloul st.,
El Estez Restaurant,Cairo. See All Branches❯,Heliopolis,"El Merghany St., koleyet El Banat",
El Etehad El Sakandary,Alexandria.,El ibrahimeya,21 El Shaheed Gawad Hosny St.,
El Fagaan Restaurant,Giza.,Faisal,63 El Safa & El Marwa St.,
El Falahah Restaurant,Cairo. See All Branches❯,Heliopolis,"41 Ahmed Tayseer St., koleyet El Banat",
El Fallah Restaurant,Cairo.,El marg el gadida,"3 Madraset El Orman St., El Gezirah",
El Fallah Restaurant,Cairo.,Helwan,45 Haidar St.,
El Fallah Restaurant,El monofeya.,Shebein el kawm,78 Talaat Harb St.,
El Fallah Tent,Luxor.,Luxor,"El Bayadeya Rd., Geziret El Awameya, LUXOR",
El Faqeer Restaurant,Giza.,Faisal,"366 Faisal St., El Talbeya",
El Farouq El Kababgy Restaurant,Giza.,El haram,"1 Mahmoud El Sayed St. Off Tersa St., El Koum El Akhdar",
El Fath Restaurant,Cairo.,Heliopolis,54 Mohamed Farid St.,
El Fayrouz,Alexandria.,Raml station,2 Ahmed Ragheb St.,
El Fokhar Restaurant,Cairo.,Nasr city,"9 El Batrawy St. Off Abbas El Akkad St., Floor 4, 1st Zone",
El Forsan Restaurant,Cairo.,El zawia el hamra,Hadaeq Nasser St.,
El Gaabary Sons Restaurant,El monofeya.,El bagour,56 Kamal El Shazly St. - El Guish St. Previously,
El Gaan Restaurant,Giza.,El warak,21 Teraet El Sawahel St.,
El Gamil,El monofeya.,Minuf,126 Ahmed Orabi St.,
El Gaml Sons Restaurant,Giza.,Auseem,"28 Teraet El Zomor St., Bashteel Village",
El Gazzar Restaurant,Cairo.,Helwan,"25 El Shaheed Hamid St., Arab El Walda",
El Gazzar Restaurant,Cairo.,Ezbet el nakhl,"9 Hamed Abdou St., Off Mohamed Mostafa Sherif St.",
El Gazzar Restaurant,Giza.,Imbaba,1 El Shaheed Abdullah St. Off El Qawmeya El Arabeya St.,
El Gazzar Restaurant,Giza.,Auseem,"2 Mahmoud Meseada St., Bashtil Village",
El Gehainy Restaurant,Cairo.,Shoubra,9 Teraet Geziret Badran St.,
El Ghazy Restaurant,Cairo.,Maadi,"76 Ibrahim Awad St., Hadayek El Maadi",
El Gizawy Restaurant,Giza.,El haram,6 El Salam St.,
El Gizawy Restaurant,Giza.,Faisal,32 Faisal St.,
El Gomhoureya,Alexandria.,El mansheya,5 El Tahrir Sq.,
El Gomhoureya Restaurant,Giza.,Faisal,El Gomhoureya St.,
El Gorn Restaurant,Cairo.,Maadi,"70 Ahmed Zaky St., Hadayek El Maadi",
El Hadra Restaurant,Cairo.,Nasr city,4 El Emdad & El Tamween St.,
El Hady,Cairo. See All Branches❯,Downtown,"Orabi Sq., El Tawfiqeya",
El Hag Mohamed El Sharkawy,Cairo.,Abbasseya,"54 Abbaseya St., Intersection Of Ahmed Said St.",
El Hag Refaat Restaurant,El gharbeya.,El mahalla el kobra,Abou Shahin St.,
El Hagah Restaurant,Cairo.,El azbakeya,11 Saray El Azbakeya St.,
El Hagga Restaurant,Giza.,Faisal,"22 Hassan Mohamed St., Hassan Mohamed",
El Haj Abdou El Sheikh Restaurant,Giza.,Imbaba,"1 Bashteel St., El Monira El Gharbeya",
El Haj Hamdy Restaurant,Cairo.,El darb el ahmar,17 El Tebbana St.,
El Haj Hamdy Restaurant,Giza. See All Branches❯,Imbaba,27 Teraet El Sawahel St.,
El Haj Said,Cairo.,Abdin,17 Roshdy St.,
El Haj Samy Restaurant,Giza.,Mohandeseen,83 Sudan St.,
El Haja Laila Restaurant,Kaliobeya.,Tukh,54 Hussein Soliman St.,
El Halal,Giza.,El haram,"147 El Orouba St., El Talbeya",
El Halal Restaurant,Giza.,El haram,"23 Sahl Hamza St., El Koum El Akhdar",
El Halawany Restaurant,Kaliobeya.,Tukh,40 Nafaq Moshtohor St.,
El Hanem Restaurant,Cairo.,Mokattam,Plot 8843 Rd. 9,
El Haram El Husseiny,Cairo.,El hussein,9 Umm El Gholam St.,
El Haramain Restaurant,Cairo. See All Branches❯,Shoubra,154 El Teraa El Boulaqeya St.,
El Haramain Restaurant,Cairo.,Abdin,El Gezirah El Gadida St.,
El Haramain Restaurant,Cairo.,Hadayek el kobba,92 Teraet El Gendy St.,
El Haramain Restaurant,Cairo.,Ain shams el gharbeya,2 Mostafa Ismail St.,
El Haramain Restaurant,Giza.,El haram,1 Ashraf El Batran St.,
El Haramain Restaurant,Giza.,6th of october,"5 El Amerikeya Towers, Central Spine, El Hosary Sq., 7th District",
El Haramain Restaurant,Giza.,Imbaba,"3 Teraet El Sawahel St., Ard El Gamaeya",
El Hareef Restaurant,Giza.,Faisal,1 Mohamed Aly St. Off Kafr Tohormos Rd.,
El Harif Restaurant,Giza.,Faisal,"1 Khaled Ibn El Walid St., El Saah Sq.",
El Harrif 2 Restaurant,Giza.,Faisal,"10 Selim St., El Mariouteya",
El Hassan & El Hussein Restaurant,Cairo.,El marg,47 El Teraa El Saltouheya St.,
El Hassan & El Hussein Restaurant,El fayoum.,El massalah,el sheikh youssef st.,
El Hassan & El Hussein Restaurant,Giza.,Ard el lewaa,42 Mostafa El Assal St.,
El Haty Wust El Balad,Cairo.,Downtown,8 A 26Th Of July St.,
El Hawawshy El Asly,Cairo.,Heliopolis,"63 El Hegaz St., El Mahkama Square",
El Hawy Restaurant,Giza.,Agouza,10 El Gheith St.,
El Hay Restaurant,Cairo.,El maasara,Airport St.,
El Hoda,El fayoum.,Downtown,26 saad zaghloul st.,
El Horreya Restaurant,Cairo.,Shoubra,127 El Teraa El Boulaqeya St.,
El Horreya Restaurant,Alexandria.,Moharram bey,12 Nazer El Khalig St.,
El Horreya Restaurant,Giza.,El moneeb,1 Nageh St.,
El Hussein,Cairo.,Maadi,"3 Abdel Moneim Riad St., El Arab",
El Hussein Restaurant,Cairo.,El nozha el gadida,1 Hassan El Debaiky St.,
El Hussein Restaurant,Cairo.,Dar el salam,1 El Sayeda Zeinab St.,
El Hussein Restaurant,Cairo.,Nasr city,"24 El Khalifa El Zafer St., 7th District",
El Hussein Restaurant,Cairo.,El marg,"24 Commercial St., El Safa City",
El Hussein Restaurant,Giza.,Dokki,2 El Tahrir St.,
El Hussein Restaurant,Giza.,El haram,"38 El Salam St., El Omraneya El Sharkeya",
El Husseiny Restaurant,Kaliobeya.,Shoubra el khaymah,31 15Th Of May St.,
El Hussien Restaurant,Cairo.,Maadi,"3 Abel Moneim Riad St., El Arab",
El Iskandarany Restaurant,El gharbeya.,Samannoud,el sayeda zeinab st.,
El Kababgy,Sharm el sheikh.,Naama bay,El Salam Rd.,
El Kamal Restaurant,El sharkeya.,Abou hammad,El Guish St.,
El Karmouzy Restaurant,Alexandria.,El bitash,41 Bitash St.,
El Karnak Restaurant,Cairo.,El sharabeya,84 Hosny St.,
El Kawthar Restaurant,Giza.,Faisal,393 Faisal St.,
El Kerdasy Restaurant,Giza.,El haram,"29 Abou El Houl El Seyahy St., Nazlet El Semman",
El Keshawi Restaurant,Cairo.,New cairo,"Plot 107, Banks Complex, 5th Compound",
El Khair El Soury Restaurant,Giza.,El haram,54 Tersa St.,
El Khal Restaurant,Cairo.,Heliopolis,"Omar Ibn El Khattab St., Off El Nasr Rd.",
El Khal Restaurant,Giza.,Ard el lewaa,60 El Shohadaa St.,
El Khal Restaurant,El dakahleya.,El mansoura,"Amr Ibn El Aas St., Extension Of Gihan El Sadat St.",
El Khaledin,Alexandria.,El mansheya,13 El Bosta St.,
El Khalifa Restaurant,Giza.,El moneeb,1 Abdel Aziz Emam St.,
El Khalil Restaurant,El menia.,El corniche,Corniche El Nil,
El Khan Restaurant,Cairo.,Madinty,"Km 33, Cairo Suez Rd.",
El Khan Restaurant,Hurghada.,Villages rd.,"Km 8, Hurghada Safaga Rd.",
El Khedewy Restaurant,El fayoum. See All Branches❯,Downtown,"Mostafa Kamel St., Dahdoura Hoda",
El Khiam,Hurghada.,Dahar,El Gouna Rd. El Helal Division,
El Khouly Restaurant,Giza.,Imbaba,"3 Teraet Bashteel St., El Monira El Gharbeya",
El Lokma El Sorya,Cairo.,El zaytoun,13 El Motawakel Ala Allah St.,
El Madina El Menawara Sandwiches,Cairo.,El darb el ahmar,52 souk el selah st.,
El Madina El Monawara,Cairo.,Maadi,"Awlad El Gammal St., Hadayek El Maadi",
El Madina El Monawara,El sharkeya.,Abou kebeir,El Tahrir St.,
El Madina El Monawara Restaurant,Cairo.,Hadayek el kobba,7 Sekket El Waily St.,
El Madina El Monawara Restaurant,Cairo.,Helwan,"7 Saleh Sobhy, Intersection Of Dr. Zaky Hawwas St.",
El Madina Restaurant,Cairo. See All Branches❯,El sabteya,4 Hossam El Din St.,
El Magnoun Restaurant,Giza.,Auseem,"2 Magdy El Qazzaz St., Bashtil Village",
El Mahalla Sons Restaurant,El beheira.,Shoubrakhit,Madraset El Tegara St.,
El Mahrousa Restaurant,Cairo. See All Branches❯,New cairo,", 1St District Services Zone, 5th Compound",
El Malah Restaurant,Alexandria.,El seyouf,Mohamed Amin Hasouna St.,
El Maleka Restaurant,Giza.,El warak,"41 Corniche El Nil, Warraq El Hadar",
El Mansy Sons Restaurant,Cairo.,El zawia el hamra,Mohamed Khaled St.,
El Masry Restaurant,Cairo.,El sayeda zeinab,1 Qadry St.,
El Masry Restaurant,Aswan.,Downtown,El Matar St.,
El Masry Restaurant,Giza.,Kerdasa,El Wehda St.,
El Masry Restaurant,Hurghada.,Sekala,Sheraton St.,
El Mat3am,Cairo.,Maadi,Rd. 9,
El Mazloum,Cairo.,El matareya,52 El Horreya St.,
El Meallem Restaurant,Cairo.,Kobry el koba,7 Abdel Magid Selim St.,
El Meligy Chicken,Cairo. See All Branches❯,Maadi,"95 Ahmed Zaky St., Hadayek El Maadi",
El Meligy Chicken,Cairo.,Maadi,1 Rd. 7 souk el maadi sq.,
El Meniawy Restaurant,Cairo.,Ain shams,"13 El Emam Mohamed Abdou St., El Naam",
El Meniawy Restaurant,Giza.,6th of october,"., 5th District",
El Menshawy Restaurant,El gharbeya.,Samannoud,el souk st.,
El Mesala Restaurant,Luxor.,Luxor,"Western Bank, LUXOR",
El Meshmeshy Restaurant,Alexandria.,Ghebrial,El Taawon St.,
El Midan El Iskandarany Restaurant,Damietta.,Damietta,"57 Fekry Zaher St., Bab El Haras",
El Midan Restaurant,Kaliobeya.,Shebein el kanater,35 El Mahatta Sq.,
El Moamen,Cairo.,Hadayek el kobba,"1 El Ahram Bldgs., Teraet El Gendy St.",
El Moamen Restaurant,Cairo.,Saray el koba,"15 A, Saray El Qobba Sq.",
El Modhesh,Giza.,Boulak el dakrour,36 Nahya St.,
El Modhesh B.B.Q Restaurant,Alexandria.,Moharram bey,101 Moharram Bey St.,
El Modhesh Restaurant,Cairo.,El manyal,3 El Rawda St.,
El Modhesh Restaurant,Kafr el sheikh.,Kaleen,Gamal Abdel Nasser St.,
El Mokhtar Restaurant,Giza.,El moneeb,27 Fakharany St.,
El Mostafa Restaurant,Giza.,6th of october,"12 Kan Kan St., 12th District",
El Motawakel Ala Allah Restaurant,Kaliobeya.,Abou zaabal,45 El Moahda St.,
El Motawkel Ala Allah Restaurant,El monofeya.,El bagour,9 Kamal El Shazly St. - El Guish St. Previously,
El Motwakel,Giza.,Mohandeseen,El Gharib St.,
El Nabi Araby Restaurant,El dakahleya.,Belqas,El Thawra St.,
El Nagah,Cairo.,Shoubra,154 El Teraa El Boulaqeya St.,
El Naggar Restaurants,Cairo.,Heliopolis,247 El Hegaz St.,
El Nahel Restaurant,Alexandria.,El attarin,110 Sherif St.,
El Nahhas Restaurants,Cairo.,El sabteya,4 El Sabteya St.,
El Nasr El Shaaby Restaurant,Alexandria.,El mansheya,112 El Gazaer St.,
El Nasr Restaurant,Giza.,Imbaba,52 El Qawmeya El Arabeya St.,
El Nawawy Restaurant,Cairo.,El manyal,39 Manial St.,
El Noamany Restaurant,Cairo.,El amireya,"Block 175, ",
El Noamany Restaurant,Cairo.,El zawia el hamra,"El Zawya El Hamra Bldgs., Block 175, Entrance 3",
El Obayed Restaurant For Armed Forces,Marsa matrouh.,Al kasr district,"Agiba Rd., El Obayed Bay",
El Omda,Giza.,Faisal,Galal St.,
El Omda,El dakahleya.,Mit ghamr,Saad Zaghloul St.,
El Omda Restaurant,Cairo.,El zawia el hamra,1 El Wehda El Arabeya St. Off El Emam El Abd St.,
El Omda Restaurant,Cairo.,Ezbet el nakhl,2 El Wardany St.,
El Omda Restaurant,Cairo.,Nasr city,"Mahmoud Ghonaim St., Off Mohamed El Maqrify St., Market 25, 8th District",
El Omda Restaurant,Giza.,Faisal,"1 Dr. Mohamed Lashin St., El Koum El Akhdar",
El Omda Restaurant,Giza.,Imbaba,Kamal Hamza St.,
El Pasha Restaurant,Cairo.,Maadi,"27 Rd. 233, Degla",
El Pasha Restaurant,Giza.,El warak,"2 El Tal St., Warraq El Arab",
El Pergola Restaurant,Giza.,Sakkara,"Km 8, Saqqara Touristic Rd.",
El Pharaana Restaurant,Giza.,Faisal,Selim St.,
El Poushy 2 Restaurant,El gharbeya.,Kafr el zayat,El Guish St.,
El Poushy Restaurant,El gharbeya.,Kafr el zayat,Orabi St.,
El Prince,Cairo.,Ain shams el sharkeya,2 Abdel Magid Zaghloul St. Off El Eshreen St.,
El Prince Macaroni,Cairo. See All Branches❯,El maasara,16 El Nasr St.,
El Prince Restaurant,Cairo.,Shoubra,5 Teraet Geziret Badran St.,
El Prince Restaurant,Giza.,Auseem,"12 Hassan Soliman St., Off Gawhar Ibrahim St., Bashteel Village",
El Qarmouty Fish,Cairo.,Ain shams el sharkeya,"55 Amman St., Off Palestine St., Arab Gesr Gesr El Suez",
El Qassas Restaurant,El monofeya.,Minuf,30 Port Said St.,
El Qobtan Fish Restaurant,Cairo.,Ain shams el sharkeya,"244 Gesr El Suez St., Arab Gesr El Suez",
El Qods Restaurants,Cairo.,Abdin,41 aly abdel latif st.,
El Rabeaa Restaurant,Suez.,El arbeen,"El Guish St., El Esaaf Sq.",
El Rabeay Restaurant,Giza.,Imbaba,"2 Mostafa Kamel St., El Monira El Gharbeya",
El Rahman Restaurant,Giza.,El haram,4 El Thawra St.,
El Rashidy El Wahed Restaurant,Alexandria.,Sidi beshr bahary,54 Khaled Khaled Ibn El Walid St.,
El Rawda Restaurant,Cairo.,Heliopolis,"62 El Hegaz St., Heliopolis Square",
El Rawda Restaurant,Giza.,Imbaba,"3 Mohamed Salem St., El Amal City",
El Rayes B.B.Q,Giza.,6th of october,"El Nagdah Sq., 4th District",
El Reda Restaurant,Cairo.,El sayeda zeinab,38 Zein El Abedeen St.,
El Reef El Masry,Alexandria. See All Branches❯,El asafra,22 Rd. 45,
El Refaey,Giza.,El haram,"14 El Mostashfa St. Off Haram St., El Koum El Akhdar",
El Rowaey Restaurant,Cairo.,Ataba,1 El Fawateya St.,
El Saada,Cairo.,Shoubra,158 El Teraa El Boulaqeya St.,
El Saeed Restaurant,"El Sharkeya.
See All Branches
❯",El Zagazig,El Bosta St.,
El Safira Restaurant,Cairo.,Nasr City,"15 Dr. Ezzat Salama St., Off Abbas El Akkad St.",
El Safty,"Alexandria.
See All Branches
❯",El Attarin,118 Ismail Mehanna St.,
El Sahaba Restaurant,Giza.,El Haram,"51 El Thalathiny St. Off Othman Moharram St., El Omraneya El Gharbeya",
El Saher Restaurant,Giza.,Agouza,24 Mahmoud Sedqy St. Off Dr. Mohamed Shahin St.,
El Saidy,Cairo.,El Marg,22 Ramadan El Asiouty St.,
El Saidy Restaurant,Cairo.,Heliopolis,"75 Saqr Qoraish Bldgs., Abdel Hamid Badawy St., Sheraton Bldgs.",
El Saidy Restaurant,Giza.,El Haram,36 El Thalathiny St.,
El Saidy Restaurant,Giza.,Faisal,"25 Kaabish St., El Tawabeq",
El Saidy Restaurant,Giza.,Dokki,Soliman Gohar St.,
El Saidy Restaurant,Giza.,Auseem,"39 El Madina El Monawara St., Bashtil Village",
El Sakia Restaurant,Suez.,Kabreet Mafarek,"Km 38, Suez Ismaileya Rd.",
El Salamouny Restaurant,Alexandria.,El Hadara,72 El Amir Hussein St.,
El Sarwat Restaurant,Kafr El Sheikh.,El Hamoul,10th Of Ramadan St.,
El Saudi Restaurant,Giza.,Auseem,"1 Saber Meseada St., Bashteel Village",
El Sawy Restaurant,"Giza.
See All Branches
❯",El Haram,"189 W, Hadayek El Ahram",
El Sayed Darwish,Alexandria.,Roushdy,202 El Guish Rd.,
El Sayeda Restaurant,Giza.,Ard El Lewaa,4 Teraet El Zomor St.,
El Sayeda Zainab Restaurant,Giza.,Abou El Nomrous,74 6th Of October St.,
El Sayeda Zeinab Restaurant,Cairo.,Hadayek Helwan,"66 El Husseiny St., Intersection Of Khaled Ibn El Walid St.",
El Sayeda Zeinab Restaurant,Giza.,El Haram,46 Masraf Hamouda St.,
El Sayeda Zeinab Restaurant,Giza.,Ard El Lewaa,37 Mohamed Aly El Essairy St.,
El Set Soma Kitchen,Cairo.,Helwan,.,
El Shaaby Restaurant,Cairo.,Maadi,"32 Abou Braik St., Ezbet Fahmy, El Arab",
El Shaarany Restaurant,Giza.,El Haram,"97 H, Hadayek El Ahram",
El Shabah,Cairo.,El Zawia El Hamra,"Ahmed El Assal St., El Qosayareen",
El Shabah Restaurant,Alexandria.,Victoria,5 Abdel Hakim El Garrah St. Off El Galaa St.,
El Shabka Restaurant,Cairo.,El Darb El Ahmar,Abou Heriba St.,
El Shabrawy,"Cairo.
See All Branches
❯",Nasr City,12 Ramo Gardens Bldgs. Omar Ibn El Khattab St.,
El Shabrawy,Cairo.,Nasr City,17 El Khalifa El Kaher St.,
El Shabrawy,El Dakahleya.,El Mansoura,108 El Gomhoureya St.,
El Shabrawy,Giza.,Boulak El Dakrour,124 Nahya St.,
